monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,Cooking Allowed,Sauna,Gymnasium,Multipurpose hall,Minimart,Internet,Squash Court,Jogging Track,Club house,Washing Machine,Security,Barbeque area,Lift,Air-Cond,Playground,Swimming Pool,Tennis Court,Near KTM/LRT,location_bin
1500.0,Cheras,Condominium,3,1.0,2.0,1000,2,Kuala Lumpur,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3
1650.0,Bukit Jalil,Condominium,3,1.0,2.0,1200,2,Kuala Lumpur,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,3
2500.0,Sentul,Service Residence,3,1.0,2.0,850,1,Kuala Lumpur,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,4
1500.0,Jalan Ipoh,Condominium,3,2.0,2.0,1062,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1200.0,Bangsar South,Flat,3,0.0,2.0,700,1,Kuala Lumpur,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1500.0,Setapak,Service Residence,3,1.0,2.0,1040,1,Kuala Lumpur,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,4
1500.0,Setapak,Condominium,4,2.0,2.0,1333,1,Kuala Lumpur,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
1800.0,Cheras,Condominium,3,1.0,2.0,850,1,Kuala Lumpur,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,3
1500.0,KL City,Apartment,3,1.0,2.0,1100,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
850.0,Kepong,Apartment,3,1.0,2.0,850,0,Kuala Lumpur,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,3
999.0,Kepong,Condominium,3,1.0,2.0,962,0,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,3
1500.0,Pandan Indah,Apartment,3,1.0,2.0,900,2,Kuala Lumpur,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2
2100.0,Taman Desa,Condominium,3,2.0,2.0,925,2,Kuala Lumpur,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,4
1550.0,Desa Pandan,Service Residence,1,1.0,1.0,570,2,Kuala Lumpur,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,5
2300.0,Cheras,Service Residence,3,1.0,2.0,1050,2,Kuala Lumpur,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3
1500.0,Old Klang Road,Service Residence,3,0.0,2.0,900,1,Kuala Lumpur,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,5
2499.0,Setapak,Service Residence,4,3.0,2.0,1100,1,Kuala Lumpur,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,4
1450.0,Cheras,Condominium,3,1.0,2.0,1150,2,Kuala Lumpur,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,3
1100.0,Cheras,Service Residence,2,1.0,2.0,650,1,Kuala Lumpur,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,3
1750.0,Cheras,Service Residence,3,1.0,2.0,819,1,Kuala Lumpur,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1800.0,Cheras,Service Residence,1,1.0,2.0,762,1,Kuala Lumpur,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,3
1700.0,Sentul,Apartment,2,1.0,2.0,743,2,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4
2200.0,Bangsar South,Condominium,1,1.0,1.0,638,2,Kuala Lumpur,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5
1700.0,Pandan Jaya,Condominium,3,1.0,2.0,1072,1,Kuala Lumpur,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,2
2000.0,Bukit Jalil,Condominium,4,1.0,2.0,900,2,Kuala Lumpur,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,3
1948.0,Damansara Heights,Service Residence,2,1.0,2.0,990,2,Kuala Lumpur,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,4
1300.0,Bukit Jalil,Apartment,3,1.0,2.0,850,1,Kuala Lumpur,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3
